row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
106,send_message,105,ABTest_test-first-person_alternative,,,,,"Thanks so much @fields.user_name for a great chat session! I am really happy you signed up for these tips. Tomorrow we will start off by learning more about building positive relationships with our children. Remember that you can always get more information by typing ""Help"".",,,,,,,,,,,,,,,046136de-664b-494d-97ad-a9f665e41ddc,,execute_actions,10590;12760
107,send_message,105;105,ABTest_test-first-person_Default;,,,,,"Thanks so much @fields.user_name for a great chat session! We are really happy you signed up for these tips. Tomorrow we will start off by learning more about building positive relationships with our children. Remember that you can always get more information by typing ""Help"".",,,,,,,,,,,,,,,4cb6e8fd-cfcb-4449-97b3-09cb5017e2d6,,execute_actions,10340;12760
108,split_by_group,104,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,d61aae48-174d-4c9c-8c12-5372eb71999d,,split_by_expression,10965;12560
109,send_message,108,ABTest_test-first-person_alternative,,,,,"Thanks so much for a great chat session! I am really happy you signed up for these tips. Tomorrow we will start off by learning more about building positive relationships with our children. Remember that you can always get more information by typing ""Help"".",,,,,,,,,,,,,,,8cfb90fe-6597-47ae-be31-0316379d9b66,,execute_actions,11090;12760
110,send_message,108;108,ABTest_test-first-person_Default;,,,,,"Thanks so much for a great chat session! We are really happy you signed up for these tips. Tomorrow we will start off by learning more about building positive relationships with our children. Remember that you can always get more information by typing ""Help"".",,,,,,,,,,,,,,,06ffbcc6-4de6-4f52-9d34-a2ebf5ff8181,,execute_actions,10840;12760
111,wait_for_response,106;107;109;110,,,,,Result,,,,,,,,,,,,,,,,2342e630-026e-4f14-9255-87a7a13f7fc6,60,wait_for_response,10100;13040
112,split_by_value,111;111,;No Response,,,,,@fields.type_of_media,,,,,,,,,,,,,,,986a0a4c-918c-4fb0-abb8-37ff9bb044db,,split_by_contact_field,10240;13180
113,split_by_value,112,high,@fields.type_of_media,has_any_word,High,,@fields.user_name,,,,,,,,,,,,,,,72b04809-947c-4e29-a19e-9bbe5bac700a,,split_by_expression,5165;13300
114,send_message,113,,@fields.user_name,has_text,user_name,,One last thing. Here is a song made just for parents like you. Chat to you tomorrow @fields.user_name!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/video/eng/LetsSlowDown.m4v,,034622d7-3a3d-44e5-a704-583a94d6a00b,,execute_actions,5040;13700
115,send_message,113,,,,,,One last thing. Here is a song made just for parents like you. Chat to you tomorrow!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/video/eng/LetsSlowDown.m4v,,c3b7b82d-6a6a-4545-853d-8cb291c4670d,,execute_actions,5290;13700
116,split_by_value,112,,,,,,@fields.user_name,,,,,,,,,,,,,,,7e222644-ad99-4cf8-a1c1-829c712a501e,,split_by_expression,11255;13500
117,send_message,116,,@fields.user_name,has_text,user_name,,One last thing. Here is a song made just for parents like you. Chat to you tomorrow @fields.user_name!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/audio/eng/LetsSlowDown.mp3,,,03374796-b404-44fa-8377-cbe6981832bc,,execute_actions,11130;13700
118,send_message,116,,,,,,One last thing. Here is a song made just for parents like you. Chat to you tomorrow!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/audio/eng/LetsSlowDown.mp3,,,76b71982-708d-45c4-979e-4a59af0e8f82,,execute_actions,11380;13700
119,send_message,70,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,aea5a933-b955-4294-9f87-80db04125eca,,execute_actions,11440;8180
120,go_to,119,,,,,,69,,,,,,,,,,,,,,,,,,
